iter	Passed	Remaining
0	149	44754
1	154	22947
2	158	15716
3	163	12099
4	168	9927
5	172	8455
6	177	7425
7	181	6642
8	186	6034
9	192	5568
10	197	5196
11	202	4869
12	209	4632
13	215	4399
14	220	4189
15	226	4014
16	230	3842
17	234	3675
18	238	3527
19	242	3395
20	247	3282
21	250	3171
22	253	3058
23	256	2952
24	259	2849
25	260	2750
26	262	2658
27	264	2571
28	266	2491
29	268	2414
30	270	2345
31	271	2277
32	273	2211
33	274	2149
34	276	2091
35	277	2035
36	278	1982
37	280	1932
38	281	1885
39	283	1839
40	284	1797
41	286	1759
42	287	1719
43	288	1681
44	290	1644
45	291	1610
46	293	1577
47	294	1545
48	295	1514
49	297	1485
50	298	1458
51	300	1431
52	302	1407
53	303	1382
54	305	1359
55	306	1335
56	307	1312
57	309	1289
58	310	1268
59	312	1248
60	313	1227
61	314	1207
62	316	1190
63	318	1174
64	320	1156
65	321	1141
66	323	1124
67	324	1107
68	325	1090
69	327	1074
70	328	1059
71	329	1043
72	331	1029
73	332	1016
74	334	1003
75	336	992
76	338	981
77	340	968
78	341	955
79	342	942
80	343	929
81	344	916
82	345	904
83	347	893
84	349	882
85	350	871
86	351	860
87	352	848
88	353	837
89	354	827
90	355	816
91	356	807
92	358	797
93	359	787
94	360	777
95	361	768
96	362	759
97	364	751
98	365	742
99	367	734
100	368	725
101	369	716
102	370	708
103	371	700
104	372	692
105	373	684
106	374	676
107	376	668
108	377	661
109	378	654
110	380	647
111	381	640
112	382	632
113	383	625
114	384	618
115	385	612
116	387	605
117	388	598
118	389	592
119	390	585
120	391	579
121	392	572
122	393	566
123	395	561
124	397	556
125	398	550
126	400	545
127	401	539
128	402	533
129	403	528
130	405	522
131	406	517
132	407	511
133	408	505
134	409	500
135	410	495
136	412	490
137	413	485
138	415	481
139	416	476
140	418	471
141	419	466
142	420	461
143	421	456
144	422	451
145	423	446
146	424	442
147	426	437
148	427	433
149	429	429
150	430	424
151	431	420
152	432	415
153	433	411
154	434	406
155	435	402
156	437	398
157	438	393
158	439	389
159	440	385
160	441	381
161	443	377
162	444	373
163	445	369
164	446	365
165	447	361
166	449	357
167	450	353
168	451	350
169	452	346
170	454	342
171	455	338
172	456	335
173	457	331
174	459	327
175	460	324
176	461	320
177	462	317
178	464	313
179	465	310
180	466	306
181	467	303
182	468	299
183	469	296
184	471	293
185	473	289
186	474	286
187	476	283
188	477	280
189	479	277
190	480	274
191	481	271
192	483	267
193	484	264
194	486	261
195	487	258
196	488	255
197	490	252
198	491	249
199	493	246
200	494	243
201	495	240
202	496	237
203	497	234
204	499	231
205	500	228
206	501	225
207	503	222
208	504	219
209	505	216
210	507	214
211	508	211
212	510	208
213	511	205
214	512	202
215	514	199
216	515	197
217	516	194
218	517	191
219	518	188
220	520	186
221	521	183
222	523	180
223	524	177
224	525	175
225	526	172
226	527	169
227	529	167
228	530	164
229	531	161
230	532	159
231	533	156
232	534	153
233	535	151
234	536	148
235	538	146
236	540	143
237	541	140
238	542	138
239	543	135
240	544	133
241	545	130
242	546	128
243	548	125
244	549	123
245	550	120
246	552	118
247	553	116
248	554	113
249	556	111
250	557	108
251	558	106
252	559	103
253	561	101
254	562	99
255	563	96
256	565	94
257	567	92
258	568	89
259	569	87
260	571	85
261	572	83
262	573	80
263	574	78
264	575	76
265	577	73
266	578	71
267	579	69
268	580	66
269	582	64
270	583	62
271	584	60
272	586	57
273	587	55
274	588	53
275	589	51
276	590	49
277	591	46
278	593	44
279	594	42
280	595	40
281	597	38
282	598	35
283	599	33
284	601	31
285	603	29
286	604	27
287	605	25
288	607	23
289	608	20
290	610	18
291	611	16
292	613	14
293	614	12
294	615	10
295	617	8
296	619	6
297	620	4
298	621	2
299	623	0
