transaction_id,customer_id,project_id,unit_id,demand_amount,collected_amount,outstanding_amount,discount_amount,refund_amount,payment_delay_days,demand_date,payment_date
TXN0001,CUST001,PROJ01,UNIT0001,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-02,2026-02-09
TXN0002,CUST002,PROJ02,UNIT0002,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-02,2026-02-09
TXN0003,CUST003,PROJ03,UNIT0003,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-02,2026-02-09
TXN0004,CUST004,PROJ04,UNIT0004,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-02,2026-02-09
TXN0005,CUST005,PROJ05,UNIT0005,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-03,2026-02-10
TXN0006,CUST006,PROJ01,UNIT0006,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-03,2026-02-10
TXN0007,CUST007,PROJ02,UNIT0007,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-03,2026-02-10
TXN0008,CUST008,PROJ03,UNIT0008,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-03,2026-02-10
TXN0009,CUST009,PROJ04,UNIT0009,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-04,2026-02-11
TXN0010,CUST010,PROJ05,UNIT0010,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-04,2026-02-11
TXN0011,CUST011,PROJ01,UNIT0011,7500000.0,0.0,7500000.0,0.0,0.0,182,2026-02-04,2026-08-05
TXN0012,CUST012,PROJ02,UNIT0012,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-04,2026-02-11
TXN0013,CUST013,PROJ03,UNIT0013,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-05,2026-02-12
TXN0014,CUST014,PROJ04,UNIT0014,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-05,2026-02-12
TXN0015,CUST015,PROJ05,UNIT0015,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-05,2026-02-12
TXN0016,CUST016,PROJ01,UNIT0016,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-05,2026-02-12
TXN0017,CUST017,PROJ02,UNIT0017,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-06,2026-02-13
TXN0018,CUST018,PROJ03,UNIT0018,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-06,2026-02-13
TXN0019,CUST019,PROJ04,UNIT0019,80000.0,80000.0,0.0,0.0,0.0,7,2026-02-06,2026-02-13
TXN0020,CUST020,PROJ05,UNIT0020,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-06,2026-02-13
TXN0021,CUST021,PROJ01,UNIT0021,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-09,2026-02-16
TXN0022,CUST022,PROJ02,UNIT0022,120000.0,120000.0,0.0,0.0,0.0,7,2026-02-09,2026-02-16
TXN0023,CUST023,PROJ03,UNIT0023,100000.0,100000.0,0.0,0.0,0.0,7,2026-02-09,2026-02-16
