Transaction ID,Source Row,Customer ID,Project ID,Unit ID,Demand Amount,Collected Amount,Outstanding Amount,Discount Amount,Refund Amount,Payment Delay Days,Demand Date,Payment Date,Risk Score,Risk Severity,Violations Count,Z-Score Flagged,IQR Flagged,Groupwise Flagged,Isolation Forest Flagged
SYS_MISSING_ROW_2,2,,TERRA,,179166320.0,621858511.0,-596523374.0,,,,,2034-02-26,100,CRITICAL,7,False,False,True,False
TXN18,3,,TERRA,,,302718057.0,-529175755.0,257939667.0,,1921,,2024-09-01,100,CRITICAL,5,False,False,True,False
TXN16,4,,,,,,-77859896.0,,,2213,2024-12-22,2024-01-22,100,CRITICAL,8,False,False,True,False
SYS_MISSING_ROW_5,5,,TERRA,,9298689.0,88119717.0,-1051310362.0,,16704212.0,2050,,2024-10-23,100,CRITICAL,6,False,True,True,True
TXN31,6,CUST12,,UNIT5,,,617998243.0,,,,2024-12-02,2024-05-18,75,CRITICAL,3,False,False,False,False
TXN28,7,CUST7,TERRA,UNIT6,,,487169869.0,,474584694.0,,2024-12-06,2024-05-04,100,CRITICAL,2,False,False,True,True
TXN16,8,,TERRA,,336786243.0,637626184.0,918370657.0,,,482,,2026-02-27,100,CRITICAL,4,False,False,True,False
SYS_MISSING_ROW_9,9,CUST12,,,294781236.0,27350726.0,921054859.0,,,1233,2024-10-29,2023-12-09,100,CRITICAL,6,False,False,True,False
SYS_MISSING_ROW_10,10,,,,19120767.0,25159318.0,857556079.0,,,15,,2024-11-06,100,CRITICAL,5,False,False,False,False
TXN39,11,,TERRA,,543059837.0,,39456645.0,,,2900,2024-12-22,2024-11-14,100,CRITICAL,5,False,False,True,False
SYS_MISSING_ROW_12,12,,,,215065065.0,458316967.0,778162875.0,137314774.0,,2943,,2033-01-06,100,CRITICAL,6,False,False,True,False
TXN25,13,CUST7,,,897427610.0,,319277691.0,,,271,2024-10-09,2025-07-07,100,CRITICAL,5,False,False,True,False
TXN7,14,CUST59,TERRA,,30560139.0,24565585.0,504577819.0,,,3570,2024-12-21,2023-12-22,100,CRITICAL,4,False,False,True,False
TXN43,15,CUST38,TERRA,,343822762.0,,,,,,,,100,CRITICAL,4,False,False,True,False
TXN17,16,CUST9,TERRA,UNIT15,2775480.0,20245571.0,-760691753.0,,172530955.0,,,,100,CRITICAL,6,False,False,True,False
TXN29,17,CUST31,,,-2485624.0,3659040.0,,,,248,2024-12-18,2025-08-23,100,CRITICAL,6,False,False,False,False
TXN10,18,,TERRA,,,902737080.0,-728505625.0,,21158708.0,3421,,,100,CRITICAL,5,False,False,True,True
TXN18,19,CUST33,,,889792186.0,631557398.0,54784111.0,,288970049.0,2569,2024-11-15,2031-11-28,100,CRITICAL,4,False,False,True,False
SYS_MISSING_ROW_20,20,,,UNIT19,,35135204.0,98391488.0,,,912,,2024-01-08,85,CRITICAL,3,False,False,False,False
TXN41,21,,,,11593037.0,,-743905213.0,,,3381,,2024-08-20,100,CRITICAL,4,False,False,False,False
TXN5,22,,,,950174570.0,11848035.0,3077455.0,,,,,2026-07-02,100,CRITICAL,5,False,False,False,False
TXN4,23,CUST51,TERRA,,16098429.0,708619901.0,27225749.0,126403469.0,,3359,,2033-12-20,100,CRITICAL,7,False,False,True,False
